budget,popularity,release_date,revenue,runtime,title,vote_average,vote_count,tsne_x,tsne_y
0.3947358864250838,0.05128079251563707,0.8441558441558463,0.1342264559713979,0.5821917808219178,Batman Begins,0.8245614035087718,0.6120668569099063,26.019241,-2.0336235
0.13157757617512028,0.015696486123335896,0.8441558441558463,0.03974356655923217,0.3356164383561644,The Dukes of Hazzard,0.40350877192982454,0.02584590297594782,-24.140978,8.51475
0.07894591412512757,0.020681130955182637,0.8441558441558463,0.06902985725947149,0.20547945205479456,The Curse of the Were-Rabbit,0.7017543859649122,0.053485527924989805,-18.936674,-10.825979
0.19736715373761116,0.015514669724350765,0.8441558441558463,0.05107670309933117,0.5068493150684932,The Legend of Zorro,0.5438596491228072,0.07378719934773746,-1.2950227,-0.41324046
0.026314252075134853,0.015024067072928762,0.8441558441558463,0.0,0.26712328767123283,American Pie Presents: Band Camp,0.43859649122807015,0.044761516510395435,-24.893219,4.63088
0.3947358864250838,0.04469569173959292,0.8441558441558463,0.32135303278279537,0.6986301369863013,Harry Potter and the Goblet of Fire,0.8245614035087718,0.46913982878108434,27.500717,-0.17346643
0.03157741828013413,0.013054307765009505,0.8311688311688314,0.003437679705778898,0.1986301369863014,District B13,0.6491228070175439,0.04631064003261313,-18.939657,-9.173527
0.06578799861262939,0.011080084394690066,0.8441558441558463,0.0008627869879778017,0.273972602739726,BloodRayne,0.1403508771929825,0.009457806767223808,-33.01742,7.6313105
0.01263001994213675,0.02128014890094016,0.8441558441558463,0.02890241860478506,0.26712328767123283,Hostel,0.5087719298245614,0.07411333061557276,-20.754997,-3.028626
0.039472167587633035,0.010869589776649247,0.8441558441558463,0.018312204567431156,0.17123287671232879,Hoodwinked!,0.5614035087719298,0.03970648185894823,-20.211103,-7.129749
0.13157757617512028,0.022016622311094317,0.8571428571428577,0.03993622499764108,0.34931506849315075,Underworld: Evolution,0.631578947368421,0.12588666938442722,-6.6637764,1.4643415
0.039472167587633035,0.008584680825132175,0.8571428571428577,0.02402002353338652,0.2191780821917808,When a Stranger Calls,0.4561403508771931,0.021932327761924175,-24.969603,2.797023
0.09999857894512465,0.01801408765960513,0.8571428571428577,0.010727424507378704,0.23972602739726034,Pulse,0.3859649122807018,0.01222992254382389,-25.738646,7.8331814
0.21052506925010933,0.02960155058640779,0.8571428571428577,0.23706924562359127,0.2465753424657534,Ice Age: The Meltdown,0.6491228070175439,0.24704443538524254,11.100051,5.3785496
0.039472167587633035,0.03383257503622746,0.8571428571428577,0.024972950100648084,0.3561643835616438,The Hills Have Eyes,0.5789473684210524,0.058866693844272316,-10.884913,-3.273322
0.13157757617512028,0.01368380088860215,0.8571428571428577,0.03501028526330323,0.4794520547945206,Silent Hill,0.6140350877192982,0.08878923766816144,-1.4753828,-2.2885046
0.3947358864250838,0.027850208601870208,0.8571428571428577,0.14270265214407973,0.48630136986301364,Mission: Impossible III,0.6491228070175439,0.16779453730126373,7.4836817,9.394138
0.3289463088625929,0.033112616097704425,0.8571428571428577,0.2754053350884017,0.6438356164383561,The Da Vinci Code,0.6491228070175439,0.22576437015898898,19.724686,3.9459574
0.31578839335009473,0.03373641854715631,0.8571428571428577,0.1657062174681386,0.4246575342465754,Cars,0.6666666666666665,0.32507134121483894,16.518087,2.9720855
0.5263150415500656,0.05301737677054459,0.8571428571428577,0.382235709108792,0.6575342465753424,Pirates of the Caribbean: Dead Man's Chest,0.7368421052631577,0.43832042397064813,28.427235,5.3396297
0.011051070080636969,0.017795090849007707,0.8571428571428577,0.0,0.29452054794520555,High School Musical,0.5789473684210524,0.08512026090501426,-18.674583,-4.020625
0.2236829847626075,0.0032646408578440645,0.8571428571428577,0.05684012785487223,0.3356164383561644,The Fast and the Furious: Tokyo Drift,0.5789473684210524,0.14227476559315122,-2.3460457,8.992978
0.2236829847626075,0.020640910520731894,0.8571428571428577,0.07077169937314928,0.1917808219178082,Open Season,0.5789473684210524,0.05479005299633102,-9.094237,12.167343
0.05263008310013121,0.011545633821216723,0.8571428571428577,0.014040290239832547,0.32191780821917804,The Grudge 2,0.43859649122807015,0.023155320016306564,-24.367535,5.768774
0.3947358864250838,0.041335799270191244,0.8571428571428577,0.21486853002331013,0.6095890410958904,Casino Royale,0.7894736842105263,0.3200978393803506,21.861317,3.4523218
0.26315673130010203,0.026753999765177887,0.8571428571428577,0.13785524423964926,0.363013698630137,Happy Feet,0.5438596491228072,0.11846718304117407,-0.730764,10.033403
0.06315641551012975,0.020555654606637098,0.8571428571428577,0.05585476400910181,0.32191780821917804,Rocky Balboa,0.6491228070175439,0.06962902568283734,-10.425676,-5.8281183
